PET,TEXT,text_name,condition,domain,Sent_id,keystrokes,time,productivity (chr/s),num_major,num_minor,num_characters,highlight_ratio,prc_sugg_accepted,tags_edited,prc_crit_err_fixed,How difficult to translate was the source text?,How good was the quality of MT?,How useful were the error annotations? ,How accurate were the error annotations? ,How useful were the translation suggestions? ,How accurate were the translation suggestions? ,MT_DA,MT_spans,MT_severity,HT_DA,HT_spans,HT_severity
1,Text 5,news_seattle_times.799809,3,news,2,0,99.114,1.621,0,2,82,0.4878,N/A,,0.5,Somewhat easy,Very good,Somewhat useful,Not accurate nor inaccurate,nan,nan,60,['crisis van overlijdensgevallen'],['Minor'],60,['crisis van overlijdensgevallen'],['Minor']
1,Text 7,news_seattle_times.800119,4,news,1,0,55.627,1.1893,0,0,51,0,100,,1,Somewhat easy,Fair,Somewhat useful,Somewhat accurate,Somewhat useful,Somewhat accurate,66,"['haven van Seattle', 'zei ', 'apparatuur ']","['Major', 'Minor', 'Minor']",90,"['haven van Seattle', 'de', 'zei ']","['Minor', 'Minor', 'Minor']"
3,Text 1,news_seattle_times.799809,1,news,2,0,32.838,2.4875,0,0,82,0,N/A,,0.5,Somewhat difficult,Fair,nan,nan,nan,nan,60,['crisis van overlijdensgevallen'],['Minor'],60,['crisis van overlijdensgevallen'],['Minor']
3,Text 2,doc20,1,medical,2,0,158.3685,1.7643,0,0,102,0,N/A,,0.5,Neutral,Good,nan,nan,nan,nan,33,['medische praktijken'],['Major'],66,['waarden en leerbehoeften van studenten '],['Major']
3,Text 2,doc20,1,medical,3,0,158.3685,1.7643,0,0,128,0,N/A,,0.5,Neutral,Good,nan,nan,nan,nan,100,[],[],100,[],[]
3,Text 2,doc20,1,medical,5,0,0.001,1.7643,0,0,132,0,N/A,,0.5,Neutral,Good,nan,nan,nan,nan,51,"['onder de knie zijn', 'artsen in noodsituaties']","['Minor', 'Major']",66,['definiëren'],['Minor']
3,Text 2,doc20,1,medical,8,0,30.964,1.7643,0,0,60,0,N/A,,0.5,Neutral,Good,nan,nan,nan,nan,66,['variabele controle'],['Minor'],100,[],[]
3,Text 8,doc18,4,medical,7,0,6.699,1.6214,0,4,117,0.4188,0,,1,Very difficult,Fair,Somewhat useful,Somewhat accurate,Somewhat useful,Not accurate nor inaccurate,90,['0.6'],['Minor'],100,[],[]
4,Text 2,doc18,1,medical,6,0,26.56,1.1754,0,0,94,0,N/A,,1,Very difficult,Insufficient,nan,nan,nan,nan,90,['0.6'],['Minor'],100,[],[]
4,Text 4,doc20,2,medical,4,0,39.485,1.2222,0,0,143,0,N/A,,1,Neutral,Good,Extremely not useful,Somewhat inaccurate,nan,nan,66,['variabele controle'],['Minor'],100,[],[]
4,Text 6,doc34,3,medical,3,0,47.456,2.4808,0,0,49,0,N/A,,1,Somewhat easy,Very good,Somewhat useful,Somewhat accurate,nan,nan,50,['gavagevoeding '],['Major'],100,[],[]
6,Text 2,doc34,1,medical,1,0,115.447,1.455,0,0,122,0,N/A,,0,Very easy,Good,nan,nan,nan,nan,50,['gavagevoeding '],['Major'],100,[],[]
6,Text 4,doc13,2,medical,1,0,23.171,1.5356,0,5,104,0.3077,N/A,,1,Neutral,Good,Somewhat not useful,Not accurate nor inaccurate,nan,nan,100,[],[],100,[],[]
6,Text 6,doc18,3,medical,6,0,0.002,1.1509,0,2,94,0.4787,N/A,,0.5,Neutral,Good,Somewhat useful,Somewhat accurate,nan,nan,100,[],[],100,[],[]
6,Text 8,doc20,4,medical,1,0,11.985,2.3344,0,0,81,0,100,,0,Very easy,Fair,Neutral,Somewhat accurate,Somewhat useful,Somewhat inaccurate,66,['variabele controle'],['Minor'],100,[],[]
7,Text 2,doc20,1,medical,1,0,27.894,0.9447,0,0,81,0,N/A,,1,Somewhat difficult,Good,nan,nan,nan,nan,66,['variabele controle'],['Minor'],66,['variabele '],['Minor']
7,Text 4,doc34,2,medical,5,0,39.312,1.4348,1,4,139,0.295,N/A,,0.5,Somewhat difficult,Good,Neutral,Not accurate nor inaccurate,nan,nan,100,[],[],100,[],[]
7,Text 6,doc13,3,medical,1,0,74.354,1.1418,0,2,104,0.2788,N/A,,1,Somewhat difficult,Good,Somewhat useful,Somewhat accurate,nan,nan,100,[],[],100,[],[]
8,Text 2,doc18,1,medical,6,0,66.7075,0.9161,0,0,94,0,N/A,,1,Very difficult,Good,nan,nan,nan,nan,100,[],[],100,[],[]
8,Text 2,doc18,1,medical,7,0,66.7075,0.9161,0,0,117,0,N/A,,1,Very difficult,Good,nan,nan,nan,nan,90,['0.6'],['Minor'],100,[],[]
8,Text 4,doc20,2,medical,1,0,156.911,0.8882,0,2,81,0.1235,N/A,,1,Somewhat easy,Good,Somewhat useful,Somewhat inaccurate,nan,nan,100,[],[],100,[],[]
8,Text 4,doc20,2,medical,4,0,0.001,0.8882,0,0,143,0,N/A,,1,Somewhat easy,Good,Somewhat useful,Somewhat inaccurate,nan,nan,66,['variabele controle'],['Minor'],100,[],[]
